legacy_path,action,target,notes
/wa-owner-builder-course,rebuild,/wa-owner-builder-course,Equity core. Already live in repo.
/tas-owner-builder-course,rebuild,/tas-owner-builder-course,Port pipeline content to MDX (Wave 2); re-verify CBOS facts.
/qld-owner-builder-course,rebuild,/qld-owner-builder-course,Equity core. Already live in repo.
/act-owner-builder-course,rebuild,/act-owner-builder-course,Full build Wave 2. State-approved-direct (Access Canberra).
/nsw-owner-builder-course,rebuild,/nsw-owner-builder-course,Canonical NSW OB target. ASQA layout (Upskill 45708). Wave 2.
/white-card,rebuild,/white-card,White Card hub. Wave 3.
/faq,rebuild,/faq,Wave 5. FAQPage schema.
/contact,rebuild,/contact,Wave 5. ContactPoint schema.
/insurances,rebuild,/insurances,Insurance hub. Wave 2. (Keeping legacy slug; /insurance nesting rejected to avoid URL churn.)
/about,rebuild,/about,Wave 5. Consolidation target for /about-us.
/cancellation-and-refund-policy,rebuild,/cancellation-and-refund-policy,"Legal set, Wave 5."
/owner-builder-courses,rebuild,/owner-builder-courses,"OB hub, biggest impression pool (59.9k). Wave 2. LW export has a duplicate entry for this slug."
/owner-builder-insurance,rebuild,/owner-builder-insurance,Service page. Wave 2.
/professional-indemnity-insurance,rebuild,/professional-indemnity-insurance,Service page. Wave 2.
/owner-builder-nsw-course,redirect,/nsw-owner-builder-course,NSW OB dual-URL consolidation. The stronger legacy URL (324c) 301s to the state-first slug.
/nsw-building-cpd-courses,redirect,/cpd-building-nsw,CPD slug convention. Wave 4.
/white-card-wa-online,redirect,/white-card-wa,Never an -online suffix. Biggest growth page (36.7k impr). Wave 3.
/wa-real-estatecpd,redirect,/cpd-real-estate-wa,Fixes broken legacy slug. Wave 4.
/tas-cpd-electrician-courses,redirect,/cpd-electrical-tas,Wave 4.
/tas-cpd-index,redirect,/cpd-tas,TAS CPD state hub. Wave 4.
/tas-cpd-courses,redirect,/cpd-tas,Folds into TAS state hub.
/tas-cpd-plumber-courses,redirect,/cpd-plumbing-tas,Wave 4.
/tas-online-white-card,redirect,/white-card-tas,Wave 3.
/tas-plumber-practitioner-cpd,redirect,/cpd-plumbing-tas,Duplicate legacy page folds into the one TAS plumbing course page.
/owner-builder-learning,redirect,/owner-builder-courses,Folds into OB hub.
/special-tas-electrician-cpd-bundle,redirect,/cpd-bundles-tas,TAS bundle page. Wave 4.
/nsw-building-industry,redirect,/cpd-nsw,Industry page folds into NSW CPD state hub. 4.7k impr.
/about-us,redirect,/about,Two live about pages consolidate to one.
/cpd-courses,redirect,/cpd,CPD main hub already exists in repo.
/special-tas-plumber-cpd-bundle,redirect,/cpd-bundles-tas,TAS bundle page. Wave 4.
/tas-builder-practitioners-cpd,redirect,/cpd-building-tas,Folds into TAS building CPD course page. Wave 4.
/tas-electrical-practitioners-cpd,redirect,/cpd-electrical-tas,Folds into TAS electrical CPD course page.
/real-estate-agent-cpd-class-2,retire,/cpd-nsw,NSW RE CPD retired. 3.6k impr forfeited knowingly.
/real-estate-agent-cpd-class-1,retire,/cpd-nsw,NSW RE CPD retired (16 Jul). 2.9k impr forfeited knowingly.
/strata-manager-osrpm-class-1,retire,/cpd-nsw,NSW RE CPD retired.
/stock-and-station-agent-cpd-class-1,retire,/cpd-nsw,NSW RE CPD retired.
/tas-cpd-building-designers-courses,retire,/cpd-tas,Retire confirmed 19 Jul 2026 (W0-9). Was: is building-designers CPD a current product? Defaulting to retire.
/strata-manager-osrpm-class-2,retire,/cpd-nsw,NSW RE CPD retired.
/nsw-real-estate-cpd,retire,/cpd-nsw,NSW RE CPD retired.
/stock-and-station-agent-cpd-class-2,retire,/cpd-nsw,NSW RE CPD retired.
/tas-cpd-architects-courses,retire,/cpd-tas,Retire confirmed 19 Jul 2026 (W0-9). Was: is architects CPD a current product? Defaulting to retire.
/tas-cpd-keystone-funded-courses,retire,/cpd-tas,Legacy funded-courses page.
/vic-building-industry,retire,/cpd,No VIC products (confirmed 16 Jul).
/saaustralia,rebuild,/saaustralia,Solar Association Australia partner page. STAYS (decision 16 Jul). Wave 5.
/course/*,redirect-to-learnworlds,https://learn.abeeducation.edu.au/course/:splat,175 course-player pages stay on LearnWorlds at learn.*
/program/*,redirect-to-learnworlds,https://learn.abeeducation.edu.au/program/:splat,54 program/bundle players stay on LearnWorlds
/bundle/*,redirect-to-learnworlds,https://learn.abeeducation.edu.au/bundle/:splat,Legacy bundle player URLs
/payment*,redirect-to-learnworlds,https://learn.abeeducation.edu.au/payment,Checkout. LW re-applies product query params; verify in spike
/signin*,redirect-to-learnworlds,https://learn.abeeducation.edu.au/signin,Login. Also update the nav Login link to learn.*
/start,redirect-to-learnworlds,https://learn.abeeducation.edu.au/start,LW system page
/cart,redirect-to-learnworlds,https://learn.abeeducation.edu.au/cart,LW system page
/thankyou,redirect-to-learnworlds,https://learn.abeeducation.edu.au/thankyou,Post-purchase page
/access-request-*,redirect-to-learnworlds,https://learn.abeeducation.edu.au/:splat,LW system pages
/email-verification-pending,redirect-to-learnworlds,https://learn.abeeducation.edu.au/email-verification-pending,LW system page
/affiliate-registration,redirect-to-learnworlds,https://learn.abeeducation.edu.au/affiliate-registration,Functional LW page
/affiliate-program-terms,redirect-to-learnworlds,https://learn.abeeducation.edu.au/affiliate-program-terms,Functional LW page
/blog,redirect,/guides,LW blog shell folds into the content hub once /guides is live
/courses,rebuild,/courses,Catalogue page rebuilt same slug (Wave 5)
/privacy,rebuild,/privacy,"Legal set, Wave 5"
/terms,rebuild,/terms,"Legal set, Wave 5"
/cookies,rebuild,/cookies,"Legal set, Wave 5"
/,rebuild,/,Homepage: root redirect on preview replaced by real homepage in Wave 5
